season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press
2023,1641739,Toumani,Camara,Toumani Camara,PF,79.0,81.0,220.4,84.5,107.0,7.865,9.0,10.0,28.5,33.0,10.7,3.19,3.41,12.0
2023,1641705,Victor,Wembanyama,Victor Wembanyama,C,82.25,83.75,248.8,87.75,110.5,8.0,9.25,10.0,27.0,30.5,12.03,3.26,3.42,11.0
2023,1641706,Brandon,Miller,Brandon Miller,SF,78.25,79.75,216.0,83.25,104.5,6.7,8.75,9.5,29.5,35.0,11.36,3.125,3.285,10.0
2023,1641707,Taylor,Hendricks,Taylor Hendricks,PF,80.25,81.0,213.6,84.5,107.0,7.865,9.25,10.25,32.5,36.0,11.27,3.14,3.32,12.0
2023,1641753,Chris,Livingston,Chris Livingston,SF,78.0,79.75,219.2,83.25,104.5,6.7,8.5,9.0,30.5,37.0,11.65,3.125,3.27,10.0
2023,1641752,Bobi,Klintman,Bobi Klintman,PF,79.75,81.0,233.4,85.125,106.5,7.865,9.0,9.75,28.5,34.0,11.47,3.14,3.29,12.0
2023,1641751,Arthur,Kaluma,Arthur Kaluma,PF,78.25,81.0,221.8,84.5,103.5,7.865,8.5,10.0,32.5,34.5,11.35,3.26,3.44,12.0
2023,1641708,Amen,Thompson,Amen Thompson,SG,77.75,77.25,214.2,84.0,103.5,6.1,8.5,8.5,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2023,1630703,Scoot,Henderson,Scoot Henderson,PG,73.0,74.0,186.0,77.5,97.0,6.1,8.25,9.0,29.5,36.0,11.004999999999999,3.0599999999999996,3.21,8.0
2023,1630592,Jalen,Wilson,Jalen Wilson,SF,77.5,79.75,230.2,80.0,99.5,6.7,8.25,9.0,31.5,35.0,11.26,3.15,3.2,10.0
2023,1630545,Terrence,Shannon Jr.,Terrence Shannon Jr.,SF,77.5,79.75,220.0,80.0,102.0,6.7,8.25,8.0,32.0,37.5,10.36,3.125,3.06,10.0
2023,1641746,Coleman,Hawkins,Coleman Hawkins,PF,80.5,81.0,224.4,84.25,108.5,7.865,8.75,8.75,26.5,32.5,12.14,3.14,3.37,12.0
2023,1641747,DaRon,Holmes II,DaRon Holmes II,C,81.0,83.75,220.8,84.5,109.0,8.0,8.5,9.5,29.5,35.0,11.48,3.26,3.2,11.0
2023,1641748,Andre,Jackson Jr.,Andre Jackson Jr.,SF,77.5,79.75,198.4,81.75,103.0,6.7,8.25,9.5,30.5,39.5,10.83,3.125,3.14,10.0
